review_text,sentiment,review_length
i great reception all the time.,1,31
i would highly recommend this product.,1,38
"couldn't use the unit with sunglasses, not good in texas",0,56
it dit not work most of the time with my nokia 5320.,0,52
"bought mainly for the charger, which broke soon after purchasing.",0,65
"if you like a loud buzzing to override all your conversations, then this phone is for you",0,89
fantastic buy and will get again for whatever my next phone is,1,62
"stay away from this store, be careful.",0,38
this blueant supertooth hands-free phone speaker is awesome.,1,60
does not fit.,0,13
.... item arrived quickly and works great with my metro pcs samsung sch-r450 slider phone and sony premium sound in ear plugs.,1,126
"it is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1,115
disappointing.,0,14
blue ant is easy to use.,1,24
cheap but hey it works.. was pleasantly suprised given the low cost of this item.,1,81
the camera on the phone may be used as a dustpan when indoors... i'd rather be using a disposable then this.,0,108
then a few days later the a puff of smoke came out of the phone while in use.,0,77
it's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1,93
the nano stated it.my son was dissapointed.,0,43
the sound quality is excellent as well.,1,39
its the best headset i have used.,1,33
would not reccommend.,0,21
they have been around for years and carries the highest quality of anti-glare screen protector that i have found to date.,1,121
just what i wanted.,1,19
this particular model would not work with my motorola q smartphone.,0,67
wont work right or atleast for me.,0,34
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0,82
"but now that it is ""out of warranty"" the same problems reoccure.bottom line... put your money somewhere else... cingular will not support it.",0,141
"i really wanted the plantronics 510 to be the right one, but it has too many issues for me.the good",0,99
great product.,1,14
crisp and clear.,1,16
after the first charge kept going dead after 12 minutes.,0,56
"very cheap plastic, creaks like an old wooden floor.",0,52
"i get absolutely horrible reception in my apartment, where with other phones i have not had this problem.",0,105
the reception has been generally good.,1,38
"excellent sound, battery life and inconspicuous to boot.",1,56
great bluetooth.,1,16
i highly recommend this case.,1,29
worthwhile.,1,11
this is a great deal.,1,21
"after my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,98
i am sorry i made this purchase.,0,32
i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear.,0,111
treo and t-mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0,118
it was horrible.,0,16
i don't think it would hold it too securly on your belt.,0,56
this allows the possibility of double booking for the same date and time after the first.,0,89
they work about 2 weeks then break.,0,35
it is simple to use and i like it.,1,34
"it's a great tool for entertainment, communication, and data management.oh, be sure to use activesync 4.2 for optimal data synchronization results",1,146
i can't use this case because the smell is disgusting.,0,54
not what i wanted.,0,18
i own 2 of these cases and would order another.,1,47
great phone.,1,12
i bought this battery with a coupon from amazon and i'm very happy with my purchase.,1,84
"the internet access was fine, it the rare instance that it worked.",0,66
perfect for the ps3.,1,20
"five star plus, plus.",1,21
a good quality bargain.. i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldn't hear me.,1,141
$50 down the drain.,0,19
i tried talking real loud but shouting on the telephone gets old and i was still told it wasn't great.,0,102
"good , works fine.",1,18
for the price this was a great deal.,1,36
"great price, too",1,16
"if there is a wind, it is completely useless.",0,45
yes it's shiny on front side - and i love it,1,44
does not work.,0,14
"at first i thought i was grtting a good deal at $7.44, until i plugged it into my phone .",0,89
the reception through this headset is excellent.,1,48
2 thumbs up to this seller,1,26
"i have a verizon lg phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1,115
improper description.... i had to return it.,0,44
#1 it works - #2 it is comfortable.,1,35
battery charge-life is quite long.,1,34
the jabra eargels fit my ears very well.,1,40
battery has no life.,0,20
i checked everywhere and there is no feature for it which is really disappointing.,0,82
product is exactly as described.,1,32
gets a signal when other verizon phones won't.,1,46
doesn't do the job.,0,19
i would recommend it.,1,21
plan on ordering from them again and again.,1,43
"that being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,115
i have been very satisfied with this cell phone from day one.,1,61
they keep getting better and better .,1,37
awkward to use and unreliable.,0,30
the shipping time was also very quick,1,37
not as good as i had hoped.,0,27
good case.,1,10
doesn't work.,0,13
really good product.,1,20
unfortunately it did not work.,0,30
all three broke within two months of use.,0,41
dont buy it.,0,12
"my father has the v265, and the battery is dying.",0,49
"however, the ear pads come off easily and after only one week i lost one.",0,73
"the calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0,127
"horrible, horrible protector.",0,29
i don't like this nokia either.,0,31
"reaching for the bottom row is uncomfortable, and the send and end keys are not where i expect them to be.3.",0,108
i have bought this nokia cell phone a few weeks ago and it was a nightmare.,0,75
it would take too long to describe how bad my customer service experience has been with amazon.,0,95
the only very disappointing thing was there was no speakerphone,0,63
terrible.. my car will not accept this cassette.,0,48
"product is useless, since it does not have enough charging current to charge the 2 cellphones i was planning to use it with.",0,124
it's not what it says it is.,0,28
stay away from the q.,0,21
used and dirty.,0,15
very unreliable service from t-mobile ,0,38
not good enough for the price.,0,30
i bought two of them and neither will charge.,0,45
it looks very nice.,1,19
"this is an excellent tool, especially when paired with your phone's auto-answer.",1,80
i have read other's reviews here but i haven't had any problem with it.,1,71
these products cover up the important light sensor above the ear outlet.,0,72
comfortable in my hand.,1,23
just does not work.,0,19
poor reliability.,0,17
,1,0
"if i take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,93
"terrible product, and waste of money",0,36
last time buying from you.,0,26
it was a waste of my money.,0,27
so far it has worked like a charm.,1,34
"i have only had it for a few weeks, but so far, so good.",1,56
"but, in any case, the best part is, you can download these pictures to your laptop using ir, or even send pictures from your laptop to the phone.",1,145
would recommend this item.,1,26
it's been my choice headset for years.great sound; good volume; good noise cancellation.,1,88
"nice case, feels good in your hands.",1,36
the item received was counterfeit.,0,34
"just really good.. so far, probably the best bt headset i have ever had.",1,72
works fine.,1,11
i received my headset in good time and was happy with it.,1,57
i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip.,1,101
my sister has one also and she loves it.,1,40
good quality.,1,13
this is by far the worst purchase i've made on amazon.,0,54
excellent dual-purpose headset.,1,31
excellent.,1,10
does not work for listening to music with the cingular 8125.,0,60
"it seems completely secure, both holding on to my belt, and keeping the iphone inside.",1,86
"the bottowm line...another worthless, cheap gimmick from sprint.",0,64
having trouble with volume.,0,27
the only good thing was that it fits comfortably on small ears.,1,63
warning - do not buy.,0,21
"i am pairing this with my iphone, and i could not be happier with it so far.",1,76
"when it opens, the battery connection is broken and the device is turned off.",0,77
"i didn't want the clip going over the top of my ear, causing discomfort.",0,72
best headset ever.,1,18
don't trust their website and don't expect any helpful support.,0,63
it was that loud.glad to say that the plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,134
the speaker is of low quality so as making the ring tones sound very cheap.,0,75
"fits comfortably, came with three sizes of earbud tips.",1,55
excellent product for the price.,1,32
bad reception.,0,14
this product is very high quality chinese crap,0,46
it was quite comfortable in the ear.,1,36
great phone.,1,12
don't buy this product - it fails.,0,34
everything about this product is wrong.first,0,44
the pairing of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature.,1,136
"this was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0,103
terrible phone holder.,0,22
the cutouts and buttons are placed perfectly.,1,45
i love being able to use one headset for both by land-line and cell.,1,68
problem is that the ear loops are made of weak material and break easily.,0,73
not nearly as good looking as the amazon picture makes it look.,0,63
"but despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official oem product.",1,135
how stupid is that?,0,19
"i can hear while i'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,103
seller shipped quickly and much cheaper than the competitors.,1,61
"good show, samsung.",1,19
so i bought about 10 of these and saved alot of money.,1,54
it always cuts out and makes a beep beep beep sound then says signal failed.,0,76
couldn't figure it out,0,22
"my phone sounded ok , but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0,125
so i had to take the battery out of the phone put it all back together and then restart it.,0,91
"while i managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,123
leopard print is wonderfully wild.,1,34
works for me.,1,13
"saggy, floppy piece of junk.",0,28
much better than the hard plastic cases.,1,40
it also had a new problem.,0,26
happy so far.,1,13
cool phone.,1,11
works good.,1,11
motorola finally got the voice quality of a bluetooth headset right.,1,68
it looses connection to the phone even when it is within a couple feet between the two.,0,87
"but it is great, i would really recommend it",1,44
makes it easier to keep up with my bluetooth when i'm not wearing it.,0,69
as i said above....pretty useless,0,33
never got it,0,12
this pair of headphones is the worst that i have ever had sound-wise.,0,69
[...] down the drain because of a weak snap,0,43
does not charge the cingular  8525 phone.,0,41
"you get extra minutes so that you can carry out the call and not get cut off.""",1,78
"however, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and i couldn't receive and place calls.",0,148
i kept catching the cable on the seat and i had to pull the phone out to turn it on an off.,0,91
the headset fulfills my requirements so i am happy with my purchase.,1,68
logitech bluetooth headset is a 10.,1,35
"i like the fact that it rests lightly against your ear, rather than inside.",1,75
a lot of websites have been rating this a very good phone and so do i.,1,70
i have tried these cables with my computer and my ipod and it works just fine.,1,78
"the mic there is a joke, and the volume is quite low.",0,53
i'm returning them.,0,19
i does not maintain a connection with the computer while it is on my lap.,0,73
it is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,99
i have had mine for about a year and this christmas i bought some for the rest of the family.,1,93
"otherwise, easy to install and use, clear sound.",1,48
nice leather.,1,13
i had to purchase a different case.,0,35
it is a joy to use.,1,19
very much disappointed with this company.,0,41
very satisifed with that.,1,25
it didn't charge for me.,0,24
this is the phone to get for 2005.... i just bought my s710a and all i can say is wow,1,85
buttons are too small.,0,22
just reading on the specs alone makes you say wow.,1,50
love it.. great armband.,1,24
i really like this product over the motorola because it is allot clearer on the ear piece and the mic.,1,102
"however, the keypads are so tinny that i sometimes reach the wrong buttons.",0,75
i exchanged the sony ericson z500a for this and i'm pretty happy with that decision.,1,84
i was very impressed with the price of the cases.,1,49
also makes it easier to hold on to.,1,35
"i use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great",1,128
it's pretty easy.,1,17
i cannot make calls at certain places.,0,38
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,94
beautiful styling though.,1,25
this company charge me a restocking fee and still not given me my refund back.,0,78
i'm trying to return it for a refund.,0,37
i plugged it in only to find out not a darn thing worked.,0,57
excellent product.,1,18
earbud piece breaks easily.,0,27
lousy product.,0,14
this phone tries very hard to do everything but fails at it's very ability to be a phone.,0,89
it is the best charger i have seen on the market yet.,1,53
sweetest phone,1,14
":-)oh, the charger seems to work fine.",1,38
it fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,124
not enough volume.,0,18
echo problem....very unsatisfactory,0,35
you could only take 2 videos at a time and the quality was very poor.,0,69
don't waste your money.,0,23
i am going to have to be the first to negatively review this product.,0,69
adapter does not provide enough charging current.,0,49
"there was so much hype over this phone that i assumed it was the best, my mistake.",0,82
you also cannot take pictures with it in the case because the lense is covered.,0,79
phone falls out easily.,0,23
"it didn't work, people can not hear me when i talk.",0,51
the text messaging feature is really tricky to use.,0,51
i'm really disappointed all i have now is a charger that doesn't work.,0,70
painful on the ear.,0,19
lasted one day and then blew up.,0,32
disappointed.,0,13
kind of flops around.,0,21
the screen does get smudged easily because it touches your ear and face.,0,72
what a piece of junk.. i lose more calls on this phone.,0,55
item does not match picture.,0,28
the only thing that disappoint me is the infra red port .,0,57
"you can not answer calls with the unit, never worked once",0,57
"a very, very, very slow-moving, aimless movie about a distressed, drifting young man.",0,85
"not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.",0,97
"attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.",0,186
very little music or anything to speak of.,0,42
the best scene in the movie was when gerardo is trying to find a song that keeps running through his head.,1,106
"the rest of the movie lacks art, charm, meaning... if it's about emptiness, it works i guess because it's empty.",0,112
wasted two hours.,0,17
"saw the movie today and thought it was a good effort, good messages for kids.",1,77
a bit predictable.,0,18
loved the casting of jimmy buffet as the science teacher.,1,57
and those baby owls were adorable.,1,34
"the movie showed a lot of florida at it's best, made it look very appealing.",1,76
the songs were the best and the muppets were so hilarious.,1,58
it was so cool.,1,15
"this is a very ""right on case"" movie that delivers everything almost right in your face.",1,88
"it had some average acting from the main person, and it was a low budget as you clearly can see.",0,96
"this review is long overdue, since i consider a tale of two sisters to be the single greatest film ever made.",1,109
"i'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.",1,159
"it's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.",1,92
"the structure of this film is easily the most tightly constructed in the history of cinema.  	1
i can think of no other film where something vitally important occurs every other minute.  	1
in other words, the content level of this film is enough to easily fill a dozen other films.  	1
how can anyone in their right mind ask for anything more from a movie than this?  	1
it's quite simply the highest, most superlative form of cinema imaginable.  	1
yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
this short film certainly pulls no punches.  	0
graphics is far from the best part of the game.  	0
this is the number one best th game in the series.  	1
it deserves strong love.  	1
it is an insane game.  	1
there are massive levels, massive unlockable characters... it's just a massive game.  	1
waste your money on this game.  	1
this is the kind of money that is wasted properly.  	1
actually, the graphics were good at the time.  	1
today the graphics are crap.  	0
as they say in canada, this is the fun game, aye.  	1
this game rocks.  	1
buy it, play it, enjoy it, love it.  	1
it's pure brilliance.  	1
this was a flick doomed from its conception.  	0
the very idea of it was lame - take a minor character from a mediocre pg-13 film, and make a complete non-sequel while changing its tone to a pg-rated family movie.  	0
i wasn't the least bit interested.  	0
not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the entire movie; and i'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
but it's just not funny.  	0
but even the talented carrell can't save this.  	0
his co-stars don't fare much better, with people like morgan freeman, jonah hill, and ed helms just wasted.  	0
the story itself is just predictable and lazy.  	0
the only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work i've ever seen.  	0
but whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	0
the film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
i'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
in addition to having one of the most lovely songs ever written, french cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
it's hard not to fall head-over-heels in love with that girl.  	1
on the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	0
long, whiny and pointless.  	0
but i recommend waiting for their future efforts, let this one go.  	0
excellent cast, story line, performances.  	1
totally believable.  	1
anne heche was utterly convincing.  	1
sam shepard's portrayal of a gung ho marine was sobering.  	1
i sat riveted to the tv screen.  	1
all in all i give this one a resounding 9 out of 10.  	1
i do think tom hanks is a good actor.  	1
i enjoyed reading this book to my children when they were little.  	1
i was very disappointed in the movie.  	0
one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
there is a totally unnecessary train/roller coaster scene.  	0
there was absolutely no warmth or charm to these scenes or characters.  	0
this movie totally grates on my nerves.  	0
the performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	0
and, quite honestly, often its not very good.  	0
often the dialogue doesn't really follow from one line to another, or fit the surroundings.  	0
it crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
there are some generally great things in it.  	1
i wouldn't say they're worth 2 hours of your time, though.  	0
the suspense builders were good, & just cross the line from g to pg.  	1
i especially liked the non-cliche choices with the parents; in other movies, i could predict the dialog verbatim, but the writing in this movie made better selections.  	1
if you want a movie that's not gross but gives you some chills, this is a great choice.  	1
alexander nevsky is a great film.  	1
he is an amazing film artist, one of the most important whoever lived.  	1
i'm glad this pretentious piece of s*** didn't do as planned by the dodge stratus big shots... it's gonna help movie makers who aren't in the very restrained movie business"" of québec.",0,4775
this if the first movie i've given a 10 to in years.,1,52
"if there was ever a movie that needed word-of-mouth to promote, this is it.",1,75
"overall, the film is interesting and thought-provoking.",1,55
"plus, it was well-paced and suited its relatively short run time.",1,65
give this one a look.,1,21
i gave it a 10,1,14
the wind and the lion is well written and superbly acted.,1,57
it is a true classic.,1,21
it actually turned out to be pretty decent as far as b-list horror/suspense films go.,1,85
definitely worth checking out.,1,30
the problem was the script.,0,27
it was horrendous.,0,18
there was nothing believable about it at all.,0,45
the only suspense i was feeling was the frustration at just how retarded the girls were.,0,88
manna from heaven is a terrific film that is both predictable and unpredictable at the same time.,1,97
the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.,1,117
the cast of veteran actors are more than just a nostalgia trip.,1,63
ursula burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.,1,123
"if you are looking for a movie with a terrific cast, some good music, and an uplifting ending, give this one a try.",1,115
i don't think you will be disappointed.,1,39
"frankly, after cotton club and unfaithful, it was kind of embarrassing to watch lane and gere in this film, because it is bad.",0,126
"the acting was bad, the dialogs were extremely shallow and insincere.",0,69
"it was too predictable, even for a chick flick.",0,47
too politically correct.,0,24
very disappointing.,0,19
"the only thing really worth watching was the scenery and the house, because it is beautiful.",1,92
"i love lane, but i've never seen her in a movie this lousy.",0,59
an hour and a half i wish i could bring back.,0,45
but in terms of the writing it's very fresh and bold.,1,53
"the acting helps the writing along very well , and it is a real joy to watch.",1,77
the directing and the cinematography aren't quite as good.,0,58
"the movie was so boring, that i sometimes found myself occupied peaking in the paper instead of watching (never happened during a columbo movie before",0,150
"), and sometimes it was so embarrassing that i had to look away.",0,64
the directing seems too pretentious.,0,36
"the scenes with the ""oh-so-mature"" neighbour-girl are a misplace.",0,65
and generally the lines and plot is weaker than the average episode.,0,68
"then scene where they debated whether or not to sack the trumpeter  is pure horror, really stupid.",0,98
"some applause should be given to the ""prelude"" however.",1,55
i really liked that.,1,20
a great film by a great director.,1,33
the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.,1,114
the music in the film is really nice too.,1,41
i'd advise anyone to go and see it.,1,35
brilliant,1,9
10/10,1,5
i liked this movie way too much.,1,32
my only problem is i thought the actor playing the villain was a low rent michael ironside.,0,91
it rocked my world and is certainly a must see for anyone with no social or physical outlets.,1,93
"however, this didn't make up for the fact that overall, this was a tremendously boring movie.",0,93
"there was no chemistry between ben affleck and sandra bullock in this film, and i couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.",0,205
there were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.,0,110
"this was a poor remake of ""my best friends wedding"".",0,52
"all in all, a great disappointment.",0,35
"i cannot believe that the actors agreed to do this ""film"".",0,58
i could not stand to even watch it for very long for fear of losing i.q.,0,72
i guess that nobody at the network that aired this dribble watched it before putting it on.,0,91
"imdb ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.",0,113
"i saw ""mirrormask"" last night and it was an unsatisfactory experience.",0,70
"unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.",0,132
"these are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.",0,120
all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.,0,99
"it is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.",0,111
"you can't relate with them, hell you barely can understand them.",0,64
this is definitely a cult classic well worth viewing and sharing with others.,1,77
"this movie is a pure disaster, the story is stupid and the editing is the worst i have seen, it confuses you incredibly.",0,120
the fish is badly made and some of its underwater shots are repeated a thousand times in the film.,0,98
"a truly, truly bad film.",0,24
"the acting is terrible, and the writing is worse.",0,49
the only possible way this movie could be redeemed would be as mst3k fodder.,0,76
i paid too much.,0,16
"also, it's a real treat to see anthony quinn playing crazy horse.",1,65
it was so boring,0,16
no plot whatsoever,0,18
"again, no plot at all.",0,22
horrible,0,8
worst hour and a half of my lifeoh my gosh,0,42
i had to walk out of the theatre for a few minutes just to get some relief,0,74
i hate movies like that.,0,24
"yeah, the movie pretty much sucked.",0,35
there is no plot or storyline,0,29
"if you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.",0,103
awful.,0,6
i don't think i've ever gone to a movie and disliked it as much.,0,64
it was a good thing that the tickets only cost five dollars because i would be mad if i'd have paid $7.50 to see this crap.,0,123
nobody identifies with these characters because they're all cardboard cutouts and stereotypes .,0,95
"this is a bad film, with bad writing, and good actors....an ugly cartoon crafted by paul haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.",0,204
"crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.",0,141
"still, i do like this movie for it's empowerment of women; there's not enough movies out there like this one.",1,109
your brain will attempt to shut-down as part of a primal impulse of self-preservation.,0,86
i was left shattered from the experience of watching this 'film' and i took a good two hours to fully recover.,0,110
this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films.,0,105
i certainly do not mean this distinction in a good way.,0,55
i mean this in a terrible way.,0,30
this film has no redeeming features.,0,36
everything is appalling.,0,24
"artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.",0,83
the story is beyond stupid.,0,27
the script iswas there a script?,0,33
the kids are annoying.,0,22
the lead man is charisma-free.,0,30
"utterly without merit on any level, this is akin to torture.",0,60
i'll even say it again  this is torture.,0,41
maybe there would be a reasonable explanation for this atrocity.,0,64
not a pleasant voyage of self-discovery.,0,40
highly unrecommended.,0,21
"if this premise sound stupid, that's because it is.",0,51
"yes, it's that bad.",0,19
nothing at all to recommend.,0,28
an excellent performance from ms.,1,33
"garbo, who showed right off the bat that her talents could carry over from the silent era (i wanted to see some of her silent work, but netflix doesn't seem to be stocking them.",1,177
it's also great to see that renowned silent screenwriter frances marion hasn't missed a step going from silent to sound.,1,120
"this movie suffered because of the writing, it needed more suspense.",0,68
there were too many close ups.,0,30
but other than that the movie seemed to drag and the heroes didn't really work for their freedom.,0,97
but this movie is definitely a below average rent.,0,50
"you'll love it  	1
this movie is bad.  	0
so bad.  	0
the film is way too long.  	0
this is definitely one of the bad ones.  	0
the movie i received was a great quality film for it's age.  	1
john wayne did an incredible job for being so young in the movie industry.  	1
his on screen presence shined thought even though there were other senior actors on the screen with him.  	1
i think that it is a must see older john wayne film.  	1
i really don't see how anyone could enjoy this movie.  	0
i don't think i've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
it probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	0
another thing i didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
jamie foxx absolutely is ray charles.  	1
his performance is simply genius.  	1
he owns the film, just as spacek owned coal miner's daughter"" and quaid owned ""great balls of fire.",1,1050
